Unnamed: 0,country,date,demand,type
0.0,AT,2016-01-01,250.0,power
7.0,EE,2016-01-01,52.0,power
11.0,FR,2016-01-01,308.0,power
10.0,FI,2016-01-01,84.0,power
9.0,EU27_2020,2016-01-01,7118.0,power
8.0,ES,2016-01-01,409.0,power
4.0,CZ,2016-01-01,47.0,power
6.0,DK,2016-01-01,70.0,power
3.0,CY,2016-01-01,0.0,power
2.0,BG,2016-01-01,151.0,power
1.0,BE,2016-01-01,367.0,power
13.0,HR,2016-01-01,43.0,power
12.0,GR,2016-01-01,232.0,power
20.0,MT,2016-01-01,0.0,power
5.0,DE,2016-01-01,1496.0,power
15.0,IE,2016-01-01,0.0,power
14.0,HU,2016-01-01,220.0,power
27.0,SK,2016-01-01,0.0,power
26.0,SI,2016-01-01,16.0,power
25.0,SE,2016-01-01,0.0,power
23.0,PT,2016-01-01,177.0,power
22.0,PL,2016-01-01,162.0,power
24.0,RO,2016-01-01,0.0,power
19.0,LV,2016-01-01,133.0,power
18.0,LU,2016-01-01,0.0,power
17.0,LT,2016-01-01,59.0,power
16.0,IT,2016-01-01,2126.0,power
21.0,NL,2016-01-01,716.0,power
41.0,HR,2016-02-01,40.0,power
32.0,CZ,2016-02-01,30.0,power
29.0,BE,2016-02-01,304.0,power
30.0,BG,2016-02-01,102.0,power
31.0,CY,2016-02-01,0.0,power
33.0,DE,2016-02-01,1193.0,power
39.0,FR,2016-02-01,214.0,power
35.0,EE,2016-02-01,28.0,power
36.0,ES,2016-02-01,286.0,power
37.0,EU27_2020,2016-02-01,5572.0,power
38.0,FI,2016-02-01,61.0,power
40.0,GR,2016-02-01,159.0,power
28.0,AT,2016-02-01,172.0,power
34.0,DK,2016-02-01,36.0,power
55.0,SK,2016-02-01,0.0,power
50.0,PL,2016-02-01,148.0,power
42.0,HU,2016-02-01,163.0,power
48.0,MT,2016-02-01,0.0,power
45.0,LT,2016-02-01,43.0,power
46.0,LU,2016-02-01,0.0,power
47.0,LV,2016-02-01,61.0,power
49.0,NL,2016-02-01,559.0,power
44.0,IT,2016-02-01,1812.0,power
51.0,PT,2016-02-01,146.0,power
52.0,RO,2016-02-01,0.0,power
53.0,SE,2016-02-01,0.0,power
54.0,SI,2016-02-01,15.0,power
43.0,IE,2016-02-01,0.0,power
58.0,BG,2016-03-01,100.0,power
59.0,CY,2016-03-01,0.0,power
60.0,CZ,2016-03-01,10.0,power
61.0,DE,2016-03-01,1217.0,power
56.0,AT,2016-03-01,154.0,power
65.0,EU27_2020,2016-03-01,5076.0,power
64.0,ES,2016-03-01,316.0,power
57.0,BE,2016-03-01,331.0,power
66.0,FI,2016-03-01,56.0,power
67.0,FR,2016-03-01,272.0,power
69.0,HR,2016-03-01,33.0,power
63.0,EE,2016-03-01,28.0,power
68.0,GR,2016-03-01,166.0,power
62.0,DK,2016-03-01,39.0,power
70.0,HU,2016-03-01,137.0,power
73.0,LT,2016-03-01,40.0,power
74.0,LU,2016-03-01,0.0,power
75.0,LV,2016-03-01,70.0,power
77.0,NL,2016-03-01,0.0,power
80.0,RO,2016-03-01,0.0,power
79.0,PT,2016-03-01,160.0,power
72.0,IT,2016-03-01,1775.0,power
71.0,IE,2016-03-01,0.0,power
81.0,SE,2016-03-01,0.0,power
82.0,SI,2016-03-01,15.0,power
83.0,SK,2016-03-01,0.0,power
78.0,PL,2016-03-01,157.0,power
76.0,MT,2016-03-01,0.0,power
85.0,BE,2016-04-01,295.0,power
86.0,BG,2016-04-01,47.0,power
87.0,CY,2016-04-01,0.0,power
88.0,CZ,2016-04-01,18.0,power
89.0,DE,2016-04-01,813.0,power
92.0,ES,2016-04-01,271.0,power
91.0,EE,2016-04-01,15.0,power
93.0,EU27_2020,2016-04-01,4351.0,power
94.0,FI,2016-04-01,31.0,power
95.0,FR,2016-04-01,234.0,power
84.0,AT,2016-04-01,113.0,power
97.0,HR,2016-04-01,21.0,power
96.0,GR,2016-04-01,173.0,power
90.0,DK,2016-04-01,25.0,power
98.0,HU,2016-04-01,104.0,power
100.0,IT,2016-04-01,1444.0,power
101.0,LT,2016-04-01,19.0,power
102.0,LU,2016-04-01,0.0,power
103.0,LV,2016-04-01,0.0,power
104.0,MT,2016-04-01,0.0,power
107.0,PT,2016-04-01,137.0,power
111.0,SK,2016-04-01,0.0,power
108.0,RO,2016-04-01,0.0,power
109.0,SE,2016-04-01,0.0,power
110.0,SI,2016-04-01,11.0,power
99.0,IE,2016-04-01,0.0,power
105.0,NL,2016-04-01,433.0,power
106.0,PL,2016-04-01,147.0,power
123.0,FR,2016-05-01,122.0,power
124.0,GR,2016-05-01,180.0,power
112.0,AT,2016-05-01,29.0,power
113.0,BE,2016-05-01,229.0,power
115.0,CY,2016-05-01,0.0,power
116.0,CZ,2016-05-01,36.0,power
119.0,EE,2016-05-01,6.0,power
118.0,DK,2016-05-01,8.0,power
120.0,ES,2016-05-01,330.0,power
121.0,EU27_2020,2016-05-01,3373.0,power
122.0,FI,2016-05-01,9.0,power
125.0,HR,2016-05-01,21.0,power
114.0,BG,2016-05-01,45.0,power
117.0,DE,2016-05-01,0.0,power
139.0,SK,2016-05-01,0.0,power
126.0,HU,2016-05-01,108.0,power
133.0,NL,2016-05-01,391.0,power
127.0,IE,2016-05-01,0.0,power
128.0,IT,2016-05-01,1524.0,power
130.0,LU,2016-05-01,0.0,power
131.0,LV,2016-05-01,35.0,power
129.0,LT,2016-05-01,17.0,power
135.0,PT,2016-05-01,148.0,power
134.0,PL,2016-05-01,126.0,power
136.0,RO,2016-05-01,0.0,power
137.0,SE,2016-05-01,0.0,power
138.0,SI,2016-05-01,9.0,power
132.0,MT,2016-05-01,0.0,power
145.0,DE,2016-06-01,626.0,power
140.0,AT,2016-06-01,17.0,power
141.0,BE,2016-06-01,244.0,power
142.0,BG,2016-06-01,39.0,power
144.0,CZ,2016-06-01,18.0,power
143.0,CY,2016-06-01,0.0,power
153.0,HR,2016-06-01,10.0,power
148.0,ES,2016-06-01,391.0,power
149.0,EU27_2020,2016-06-01,4078.0,power
150.0,FI,2016-06-01,8.0,power
151.0,FR,2016-06-01,141.0,power
152.0,GR,2016-06-01,283.0,power
147.0,EE,2016-06-01,4.0,power
146.0,DK,2016-06-01,18.0,power
167.0,SK,2016-06-01,0.0,power
162.0,PL,2016-06-01,105.0,power
160.0,MT,2016-06-01,0.0,power
156.0,IT,2016-06-01,1470.0,power
157.0,LT,2016-06-01,10.0,power
159.0,LV,2016-06-01,45.0,power
161.0,NL,2016-06-01,316.0,power
158.0,LU,2016-06-01,0.0,power
163.0,PT,2016-06-01,219.0,power
164.0,RO,2016-06-01,0.0,power
165.0,SE,2016-06-01,0.0,power
